refinery,date,radiance
HPCL Barmer / HRRL (IN),2022-01-01,14.113317065690396
HPCL Barmer / HRRL (IN),2022-02-01,16.65862120255916
HPCL Barmer / HRRL (IN),2022-03-01,17.43656207047976
HPCL Barmer / HRRL (IN),2022-04-01,16.40809978959123
HPCL Barmer / HRRL (IN),2022-05-01,15.770425977086175
HPCL Barmer / HRRL (IN),2022-06-01,14.65300166324751
HPCL Barmer / HRRL (IN),2022-07-01,5.48921599123213
HPCL Barmer / HRRL (IN),2022-08-01,20.569732578548454
HPCL Barmer / HRRL (IN),2022-09-01,15.742063877145215
HPCL Barmer / HRRL (IN),2022-10-01,17.118813324256763
HPCL Barmer / HRRL (IN),2022-11-01,21.438627111135855
HPCL Barmer / HRRL (IN),2022-12-01,24.067389369010925
HPCL Barmer / HRRL (IN),2023-01-01,25.065609134160557
HPCL Barmer / HRRL (IN),2023-02-01,26.324864968745665
HPCL Barmer / HRRL (IN),2023-03-01,27.66730512951958
HPCL Barmer / HRRL (IN),2023-04-01,37.722030992338645
HPCL Barmer / HRRL (IN),2023-05-01,36.2991257010127
HPCL Barmer / HRRL (IN),2023-06-01,37.88811892447387
HPCL Barmer / HRRL (IN),2023-07-01,30.485889043328324
HPCL Barmer / HRRL (IN),2023-08-01,28.492827223602838
HPCL Barmer / HRRL (IN),2023-09-01,32.64899846646912
HPCL Barmer / HRRL (IN),2023-10-01,36.13148688000335
HPCL Barmer / HRRL (IN),2023-11-01,45.466845874955666
HPCL Barmer / HRRL (IN),2023-12-01,48.88732207456284
HPCL Barmer / HRRL (IN),2024-01-01,48.835768350482695
HPCL Barmer / HRRL (IN),2024-02-01,45.20949746095217
HPCL Barmer / HRRL (IN),2024-03-01,50.56735408517736
HPCL Barmer / HRRL (IN),2024-04-01,50.22420376151271
HPCL Barmer / HRRL (IN),2024-05-01,48.98803326364099
HPCL Barmer / HRRL (IN),2024-06-01,51.57238739764197
HPCL Barmer / HRRL (IN),2024-07-01,41.10839857363842
HPCL Barmer / HRRL (IN),2024-08-01,35.81683651371115
HPCL Barmer / HRRL (IN),2024-09-01,32.17567396869321
HPCL Barmer / HRRL (IN),2024-10-01,35.75068732549453
HPCL Barmer / HRRL (IN),2024-11-01,50.36157515768469
HPCL Barmer / HRRL (IN),2024-12-01,58.02066902013925
HPCL Barmer / HRRL (IN),2025-01-01,54.690779536433475
HPCL Barmer / HRRL (IN),2025-02-01,54.504326065616496
HPCL Barmer / HRRL (IN),2025-03-01,57.19431503566764
HPCL Barmer / HRRL (IN),2025-04-01,57.81406248673885
HPCL Barmer / HRRL (IN),2025-05-01,50.7443668292119
HPCL Barmer / HRRL (IN),2025-06-01,50.47348268920853
HPCL Barmer / HRRL (IN),2025-07-01,77.86381648419172
HPCL Barmer / HRRL (IN),2025-08-01,32.88984438653528
HPCL Barmer / HRRL (IN),2025-09-01,33.24396575132065
HPCL Barmer / HRRL (IN),2025-10-01,46.305601891681285
HPCL Barmer / HRRL (IN),2025-11-01,53.79709364958769
HPCL Barmer / HRRL (IN),2025-12-01,57.89474887537533
HPCL Barmer / HRRL (IN),2026-01-01,61.61491690161665
HPCL Barmer / HRRL (IN),2026-02-01,59.36357762122295
HPCL Barmer / HRRL (IN),2026-03-01,62.757015026532684
HPCL Barmer / HRRL (IN),2026-04-01,56.3377631063292
HPCL Barmer / HRRL (IN),2012-01-01,0.0031901298190009663
HPCL Barmer / HRRL (IN),2013-01-01,0.0
HPCL Barmer / HRRL (IN),2014-01-01,0.0
HPCL Barmer / HRRL (IN),2015-01-01,0.0
HPCL Barmer / HRRL (IN),2016-01-01,0.0
HPCL Barmer / HRRL (IN),2017-01-01,0.0
HPCL Barmer / HRRL (IN),2018-01-01,0.018651412788932845
HPCL Barmer / HRRL (IN),2019-01-01,0.4646744756303595
HPCL Barmer / HRRL (IN),2020-01-01,1.9124454961725945
HPCL Barmer / HRRL (IN),2021-01-01,7.141584905646962
IOCL Panipat (IN),2022-01-01,48.23244172261085
IOCL Panipat (IN),2022-02-01,53.934657040937445
IOCL Panipat (IN),2022-03-01,49.222083141774306
IOCL Panipat (IN),2022-04-01,43.030836125950756
IOCL Panipat (IN),2022-05-01,40.337292971434415
IOCL Panipat (IN),2022-06-01,48.45216438505385
IOCL Panipat (IN),2022-07-01,41.91240928496843
IOCL Panipat (IN),2022-08-01,57.24333474665512
IOCL Panipat (IN),2022-09-01,44.64768967216398
IOCL Panipat (IN),2022-10-01,49.76232635239024
IOCL Panipat (IN),2022-11-01,57.60223774556761
IOCL Panipat (IN),2022-12-01,86.93241147641783
IOCL Panipat (IN),2023-01-01,64.78907907156297
IOCL Panipat (IN),2023-02-01,63.12227890815264
IOCL Panipat (IN),2023-03-01,75.52691610948538
IOCL Panipat (IN),2023-04-01,70.96686850065066
IOCL Panipat (IN),2023-05-01,60.23136574545024
IOCL Panipat (IN),2023-06-01,64.84310837145205
IOCL Panipat (IN),2023-07-01,41.79069628538909
IOCL Panipat (IN),2023-08-01,61.67349097169476
IOCL Panipat (IN),2023-09-01,55.87422987855511
IOCL Panipat (IN),2023-10-01,72.7276921507753
IOCL Panipat (IN),2023-11-01,80.01249738387119
IOCL Panipat (IN),2023-12-01,70.87916998804351
IOCL Panipat (IN),2024-01-01,97.28955047513232
IOCL Panipat (IN),2024-02-01,72.53769723279977
IOCL Panipat (IN),2024-03-01,77.70159025545473
IOCL Panipat (IN),2024-04-01,61.58356202678916
IOCL Panipat (IN),2024-05-01,63.428878395645704
IOCL Panipat (IN),2024-06-01,62.41375196715932
IOCL Panipat (IN),2024-07-01,55.290209004908434
IOCL Panipat (IN),2024-08-01,57.01618905715001
IOCL Panipat (IN),2024-09-01,75.18797647217174
IOCL Panipat (IN),2024-10-01,75.26849053229815
IOCL Panipat (IN),2024-11-01,88.46623208787706
IOCL Panipat (IN),2024-12-01,81.02878947905552
IOCL Panipat (IN),2025-01-01,81.4573285020428
IOCL Panipat (IN),2025-02-01,79.24010704181812
IOCL Panipat (IN),2025-03-01,77.87900482578043
IOCL Panipat (IN),2025-04-01,67.30625519929109
IOCL Panipat (IN),2025-05-01,65.88238050908218
IOCL Panipat (IN),2025-06-01,76.54708192966602
IOCL Panipat (IN),2025-07-01,71.47715728665575
IOCL Panipat (IN),2025-08-01,65.84851973733784
IOCL Panipat (IN),2025-09-01,69.58026167787152
IOCL Panipat (IN),2025-10-01,78.18242077768585
IOCL Panipat (IN),2025-11-01,88.59251415582351
IOCL Panipat (IN),2025-12-01,92.00004942034498
IOCL Panipat (IN),2026-01-01,84.27296618473383
IOCL Panipat (IN),2026-02-01,99.96715655150237
IOCL Panipat (IN),2026-03-01,94.58325470818414
IOCL Panipat (IN),2026-04-01,85.0079944987356
IOCL Panipat (IN),2012-01-01,35.518182569079926
IOCL Panipat (IN),2013-01-01,36.21049372943831
IOCL Panipat (IN),2014-01-01,32.81631256327217
IOCL Panipat (IN),2015-01-01,33.264925379811984
IOCL Panipat (IN),2016-01-01,39.53222528210393
IOCL Panipat (IN),2017-01-01,37.019187688827515
IOCL Panipat (IN),2018-01-01,40.36751767735422
IOCL Panipat (IN),2019-01-01,43.101938256510984
IOCL Panipat (IN),2020-01-01,41.34484485049307
IOCL Panipat (IN),2021-01-01,41.7170757688122
Thai Oil Sri Racha (TH),2022-01-01,61.44681735078165
Thai Oil Sri Racha (TH),2022-02-01,63.27051628128556
Thai Oil Sri Racha (TH),2022-03-01,61.871619847195205
Thai Oil Sri Racha (TH),2022-04-01,53.122310780296644
Thai Oil Sri Racha (TH),2022-05-01,33.68115896648831
Thai Oil Sri Racha (TH),2022-06-01,53.47154362061445
Thai Oil Sri Racha (TH),2022-07-01,59.40801203878302
Thai Oil Sri Racha (TH),2022-08-01,66.95195209185282
Thai Oil Sri Racha (TH),2022-09-01,71.31980637387113
