refinery,month,detections
HPCL Barmer / HRRL (IN),2023-03-01,2
HPCL Barmer / HRRL (IN),2024-10-01,2
HPCL Barmer / HRRL (IN),2026-02-01,6
HPCL Barmer / HRRL (IN),2026-04-01,10
HPCL Barmer / HRRL (IN),2026-05-01,1
HPCL Barmer / HRRL (IN),2026-06-01,11
IOCL Panipat (IN),2012-11-01,1
IOCL Panipat (IN),2012-12-01,1
IOCL Panipat (IN),2013-01-01,1
IOCL Panipat (IN),2013-02-01,1
IOCL Panipat (IN),2013-03-01,2
IOCL Panipat (IN),2013-05-01,3
IOCL Panipat (IN),2013-11-01,3
IOCL Panipat (IN),2014-07-01,3
IOCL Panipat (IN),2014-11-01,1
IOCL Panipat (IN),2015-01-01,1
IOCL Panipat (IN),2015-02-01,1
IOCL Panipat (IN),2015-09-01,1
IOCL Panipat (IN),2016-10-01,2
IOCL Panipat (IN),2017-11-01,4
IOCL Panipat (IN),2018-05-01,4
IOCL Panipat (IN),2018-10-01,1
IOCL Panipat (IN),2018-11-01,2
IOCL Panipat (IN),2018-12-01,9
IOCL Panipat (IN),2019-01-01,5
IOCL Panipat (IN),2019-02-01,1
IOCL Panipat (IN),2020-01-01,2
IOCL Panipat (IN),2020-02-01,1
IOCL Panipat (IN),2020-03-01,1
IOCL Panipat (IN),2020-05-01,7
IOCL Panipat (IN),2021-02-01,3
IOCL Panipat (IN),2021-04-01,2
IOCL Panipat (IN),2021-11-01,5
IOCL Panipat (IN),2022-02-01,1
IOCL Panipat (IN),2022-04-01,2
IOCL Panipat (IN),2023-10-01,1
IOCL Panipat (IN),2024-03-01,2
IOCL Panipat (IN),2024-05-01,1
IOCL Panipat (IN),2024-07-01,2
IOCL Panipat (IN),2025-05-01,1
Thai Oil Sri Racha (TH),2012-01-01,4
Thai Oil Sri Racha (TH),2012-02-01,15
Thai Oil Sri Racha (TH),2012-03-01,17
Thai Oil Sri Racha (TH),2012-04-01,2
Thai Oil Sri Racha (TH),2012-05-01,3
Thai Oil Sri Racha (TH),2012-06-01,1
Thai Oil Sri Racha (TH),2012-07-01,1
Thai Oil Sri Racha (TH),2012-09-01,2
Thai Oil Sri Racha (TH),2012-10-01,3
Thai Oil Sri Racha (TH),2012-11-01,2
Thai Oil Sri Racha (TH),2012-12-01,1
Thai Oil Sri Racha (TH),2013-01-01,17
Thai Oil Sri Racha (TH),2013-02-01,4
Thai Oil Sri Racha (TH),2013-03-01,20
Thai Oil Sri Racha (TH),2013-04-01,7
Thai Oil Sri Racha (TH),2013-05-01,4
Thai Oil Sri Racha (TH),2013-06-01,2
Thai Oil Sri Racha (TH),2013-10-01,9
Thai Oil Sri Racha (TH),2013-11-01,15
Thai Oil Sri Racha (TH),2013-12-01,22
Thai Oil Sri Racha (TH),2014-01-01,24
Thai Oil Sri Racha (TH),2014-02-01,7
Thai Oil Sri Racha (TH),2014-03-01,12
Thai Oil Sri Racha (TH),2014-04-01,13
Thai Oil Sri Racha (TH),2014-05-01,3
Thai Oil Sri Racha (TH),2014-06-01,2
Thai Oil Sri Racha (TH),2014-07-01,2
Thai Oil Sri Racha (TH),2014-08-01,1
Thai Oil Sri Racha (TH),2014-09-01,3
Thai Oil Sri Racha (TH),2014-10-01,4
Thai Oil Sri Racha (TH),2014-11-01,7
Thai Oil Sri Racha (TH),2014-12-01,11
Thai Oil Sri Racha (TH),2015-01-01,18
Thai Oil Sri Racha (TH),2015-02-01,6
Thai Oil Sri Racha (TH),2015-03-01,12
Thai Oil Sri Racha (TH),2015-04-01,13
Thai Oil Sri Racha (TH),2015-05-01,6
Thai Oil Sri Racha (TH),2015-06-01,1
Thai Oil Sri Racha (TH),2015-07-01,1
Thai Oil Sri Racha (TH),2015-09-01,2
Thai Oil Sri Racha (TH),2015-10-01,1
Thai Oil Sri Racha (TH),2015-11-01,1
Thai Oil Sri Racha (TH),2016-01-01,34
Thai Oil Sri Racha (TH),2016-02-01,4
Thai Oil Sri Racha (TH),2016-03-01,20
Thai Oil Sri Racha (TH),2016-04-01,20
Thai Oil Sri Racha (TH),2016-05-01,8
Thai Oil Sri Racha (TH),2016-06-01,8
Thai Oil Sri Racha (TH),2016-08-01,2
Thai Oil Sri Racha (TH),2016-09-01,2
Thai Oil Sri Racha (TH),2016-10-01,6
Thai Oil Sri Racha (TH),2016-11-01,14
Thai Oil Sri Racha (TH),2016-12-01,18
Thai Oil Sri Racha (TH),2017-01-01,22
Thai Oil Sri Racha (TH),2017-02-01,48
Thai Oil Sri Racha (TH),2017-03-01,26
Thai Oil Sri Racha (TH),2017-04-01,24
Thai Oil Sri Racha (TH),2017-05-01,4
Thai Oil Sri Racha (TH),2017-06-01,8
Thai Oil Sri Racha (TH),2017-07-01,2
Thai Oil Sri Racha (TH),2017-08-01,4
Thai Oil Sri Racha (TH),2017-09-01,12
Thai Oil Sri Racha (TH),2017-10-01,20
Thai Oil Sri Racha (TH),2017-11-01,12
Thai Oil Sri Racha (TH),2017-12-01,40
