,from,to,time
0,881e05b403fffff,881e05b407fffff,130
1,881e05b403fffff,881e05b41dfffff,299
2,881e05b403fffff,881e05b403fffff,0
3,881e05b403fffff,881e05b40bfffff,110
4,881e05b403fffff,881e05b401fffff,270
5,881e05b403fffff,881e05b439fffff,129
6,881e05b403fffff,881e05b415fffff,125
7,881e05b407fffff,881e05b407fffff,43
8,881e05b407fffff,881e05b43dfffff,257
9,881e05b407fffff,881e05b403fffff,127
10,881e05b407fffff,881e05b401fffff,309
11,881e05b407fffff,881e05b439fffff,127
12,881e05b407fffff,881e05b405fffff,191
13,881e05b407fffff,881e05b42bfffff,122
14,881e05b40bfffff,881e05b457fffff,239
15,881e05b40bfffff,881e05b41dfffff,324
16,881e05b40bfffff,881e05b403fffff,107
17,881e05b40bfffff,881e05b40bfffff,0
18,881e05b40bfffff,881e05b409fffff,774
19,881e05b40bfffff,881e05b401fffff,257
20,881e05b40bfffff,881e05b455fffff,74
21,881e05b411fffff,881e05b41bfffff,218
22,881e05b411fffff,881e05b41dfffff,158
23,881e05b411fffff,881e05b419fffff,428
24,881e05b411fffff,881e05b411fffff,0
25,881e05b411fffff,881e05b415fffff,128
26,881e05b411fffff,881e05b417fffff,424
27,881e05b411fffff,881e05b413fffff,125
28,881e05b413fffff,881e05b41bfffff,169
29,881e05b413fffff,881e05b4c5fffff,210
30,881e05b413fffff,881e05b4cdfffff,163
31,881e05b413fffff,881e05b411fffff,128
32,881e05b413fffff,881e05b413fffff,0
33,881e05b413fffff,881e05b417fffff,421
34,881e05b413fffff,881e05b4e9fffff,860
35,881e05b415fffff,881e05b41dfffff,197
36,881e05b415fffff,881e05b43bfffff,284
37,881e05b415fffff,881e05b403fffff,128
38,881e05b415fffff,881e05b439fffff,131
39,881e05b415fffff,881e05b411fffff,133
40,881e05b415fffff,881e05b415fffff,179
41,881e05b415fffff,881e05b417fffff,314
42,881e05b417fffff,881e05b43bfffff,519
43,881e05b417fffff,881e05b4edfffff,566
44,881e05b417fffff,881e05b413fffff,425
45,881e05b417fffff,881e05b411fffff,430
46,881e05b417fffff,881e05b415fffff,320
47,881e05b417fffff,881e05b417fffff,0
48,881e05b417fffff,881e05b4e9fffff,438
49,881e05b419fffff,881e05b457fffff,574
50,881e05b419fffff,881e05b41bfffff,342
51,881e05b419fffff,881e05b419fffff,0
52,881e05b419fffff,881e05b41dfffff,450
53,881e05b419fffff,881e05b453fffff,722
54,881e05b419fffff,881e05b6a5fffff,386
55,881e05b419fffff,881e05b411fffff,431
56,881e05b41bfffff,881e05b41bfffff,66
57,881e05b41bfffff,881e05b6a7fffff,527
58,881e05b41bfffff,881e05b419fffff,344
59,881e05b41bfffff,881e05b4cdfffff,324
60,881e05b41bfffff,881e05b6a5fffff,189
61,881e05b41bfffff,881e05b411fffff,205
62,881e05b41bfffff,881e05b413fffff,161
63,881e05b41dfffff,881e05b457fffff,310
64,881e05b41dfffff,881e05b41dfffff,38
65,881e05b41dfffff,881e05b419fffff,445
66,881e05b41dfffff,881e05b403fffff,308
67,881e05b41dfffff,881e05b40bfffff,331
68,881e05b41dfffff,881e05b411fffff,162
69,881e05b41dfffff,881e05b415fffff,198
70,881e05b439fffff,881e05b407fffff,126
71,881e05b439fffff,881e05b43dfffff,303
72,881e05b439fffff,881e05b43bfffff,207
73,881e05b439fffff,881e05b403fffff,130
74,881e05b439fffff,881e05b431fffff,280
75,881e05b439fffff,881e05b439fffff,0
76,881e05b439fffff,881e05b415fffff,137
77,881e05b43bfffff,881e05b43bfffff,0
78,881e05b43bfffff,881e05b431fffff,434
79,881e05b43bfffff,881e05b4edfffff,305
80,881e05b43bfffff,881e05b439fffff,205
81,881e05b43bfffff,881e05b415fffff,290
82,881e05b43bfffff,881e05b417fffff,525
83,881e05b43bfffff,881e05b433fffff,495
84,881e05b43dfffff,881e05b43dfffff,0
85,881e05b43dfffff,881e05b407fffff,254
86,881e05b43dfffff,881e05b431fffff,500
87,881e05b43dfffff,881e05b423fffff,469
88,881e05b43dfffff,881e05b439fffff,308
89,881e05b43dfffff,881e05b42bfffff,306
90,881e05b43dfffff,881e05b435fffff,565
91,881e05b451fffff,881e05b459fffff,1141
92,881e05b451fffff,881e05b457fffff,429
93,881e05b451fffff,881e05b453fffff,574
94,881e05b451fffff,881e05b451fffff,0
95,881e05b451fffff,881e05b45dfffff,443
96,881e05b451fffff,881e05b45bfffff,803
97,881e05b451fffff,881e05b455fffff,424
98,881e05b453fffff,881e05b453fffff,0
99,881e05b453fffff,881e05b457fffff,355
100,881e05b453fffff,881e05b419fffff,715
101,881e05b453fffff,881e05b451fffff,369
