date,ADM_PRICE,BG_PRICE,SOY_PRICE,ADM_IDX,BG_IDX,SOY_IDX,Brazil_Temp,Brazil_Precip,USA_Temp,USA_Precip,enso_proxy,enso_phase,la_nina_index,SWI_Brazil,SWI_US
1995-01-31,7.424,,,96.312,,,26.800,300.000,-6.200,25.000,-0.732,La Niña-like,0.732,75.598,102.168
1995-02-28,6.963,,,90.330,,,26.800,300.000,-1.800,17.000,-0.905,La Niña-like,0.905,69.940,103.908
1995-03-31,6.871,,,89.133,,,27.000,278.000,4.300,70.000,-0.472,Neutral,0.472,85.120,103.491
1995-04-30,6.733,,,87.339,,,25.700,49.000,8.600,153.000,-0.147,Neutral,0.147,93.253,99.806
1995-05-31,6.834,,,88.657,,,24.600,121.000,14.900,160.000,-0.253,Neutral,0.253,96.527,93.267
1995-06-30,6.880,,,89.256,,,24.500,51.000,21.600,73.000,-0.272,Neutral,0.272,97.521,93.303
1995-07-31,6.095,,,79.072,,,24.400,0.000,24.600,111.000,-0.174,Neutral,0.174,97.968,95.095
1995-08-31,6.458,,,83.782,,,25.300,19.000,26.200,26.000,-0.013,Neutral,0.013,99.171,113.965
1995-09-30,5.973,,,77.482,,,27.700,68.000,17.300,79.000,0.013,Neutral,0.000,99.470,111.349
1995-10-31,6.216,,,80.632,,,28.000,88.000,11.600,32.000,-0.130,Neutral,0.130,99.471,113.501
1995-11-30,6.722,,,87.204,,,27.433,133.667,0.700,40.000,-0.014,Neutral,0.014,100.609,97.891
1995-12-31,7.014,,,90.995,,,26.867,179.333,-3.300,0.500,-0.040,Neutral,0.040,97.495,100.963
1996-01-31,7.424,,,96.304,,,26.300,225.000,-8.000,25.000,-0.272,Neutral,0.272,91.129,99.411
1996-02-29,7.521,,,97.571,,,27.000,344.000,-3.800,11.000,-0.454,Neutral,0.454,86.011,101.752
1996-03-31,7.179,,,93.136,,,25.525,279.000,0.300,32.000,-0.760,La Niña-like,0.760,83.440,101.535
1996-04-30,7.375,,,95.670,,,24.050,214.000,8.700,54.000,-1.253,La Niña-like,1.253,83.670,104.405
1996-05-31,7.639,,,99.101,,,,119.000,14.200,253.000,,,,,
1996-06-30,7.492,,,97.195,,,21.100,24.000,21.500,79.000,,,,,
1996-07-31,6.954,,,90.207,,,23.200,0.000,22.600,103.000,,,,,
1996-08-31,7.322,,,94.979,,,24.900,6.500,22.400,64.000,-0.488,Neutral,0.488,,
1996-09-30,7.940,,,103.006,,,26.600,13.000,16.700,104.000,-0.060,Neutral,0.060,,
1996-10-31,9.023,,,117.052,,,27.500,73.000,11.900,73.000,-0.049,Neutral,0.049,98.957,95.420
1996-11-30,9.095,,,117.982,,,27.700,203.000,0.100,58.000,-0.057,Neutral,0.057,98.398,94.238
1996-12-31,9.095,,,117.982,,,27.900,206.000,-5.400,13.000,0.038,Neutral,0.000,101.118,98.079
1997-01-31,8.165,,,105.915,,,26.500,245.000,-8.200,4.000,-0.153,Neutral,0.153,95.517,98.932
1997-02-28,7.668,,,99.469,,,26.600,227.000,-2.500,19.000,-0.170,Neutral,0.170,94.928,101.432
1997-03-31,7.409,,,96.108,,,26.800,190.000,4.500,22.000,-0.212,Neutral,0.212,92.529,103.220
1997-04-30,7.616,,,98.797,,,27.400,84.000,7.800,105.000,0.259,Neutral,0.000,99.808,99.888
1997-05-31,8.311,,,107.812,,,24.400,70.000,13.200,102.000,0.204,Neutral,0.000,101.710,94.501
1997-06-30,9.765,,,126.678,,,24.400,79.000,22.300,125.000,-0.151,Neutral,0.151,99.766,92.925
1997-07-31,9.350,,,121.288,,,24.500,0.000,24.100,76.000,-0.236,Neutral,0.236,98.516,95.815
1997-08-31,9.456,,,122.672,,,25.100,9.000,22.200,61.000,-0.145,Neutral,0.145,98.386,98.800
1997-09-30,10.467,,,135.790,,,27.100,64.500,19.100,64.000,0.009,Neutral,0.000,98.934,99.676
1997-10-31,9.730,,,126.217,,,29.100,120.000,12.100,118.000,-0.066,Neutral,0.066,100.413,98.176
1997-11-30,9.558,,,123.994,,,28.900,217.000,1.300,33.000,0.136,Neutral,0.000,104.861,98.963
1997-12-31,9.698,,,125.806,,,27.900,196.000,-1.800,34.000,0.401,Neutral,0.000,109.875,97.743
1998-01-31,9.418,,,122.181,,,28.500,217.000,-3.400,21.000,0.654,El Niño-like,0.000,120.676,98.447
1998-02-28,10.056,,,130.456,,,27.800,190.000,2.300,40.000,0.877,El Niño-like,0.000,127.254,98.452
1998-03-31,9.832,,,127.549,,,27.900,223.000,0.900,104.000,0.984,El Niño-like,0.000,127.671,94.498
1998-04-30,9.636,,,125.005,,,27.200,124.000,10.500,45.000,0.739,El Niño-like,0.000,116.685,95.471
1998-05-31,8.508,,,110.368,,,25.400,45.000,19.100,118.000,0.475,Neutral,0.000,107.498,99.281
1998-06-30,8.704,,,112.917,,,23.500,8.000,20.000,252.000,0.266,Neutral,0.000,103.797,89.873
1998-07-31,7.693,,,99.804,,,24.900,0.000,24.100,109.000,0.396,Neutral,0.000,103.874,85.892
1998-08-31,7.097,,,92.070,,,26.100,42.000,23.900,122.000,0.145,Neutral,0.000,102.072,82.836
1998-09-30,7.925,,,102.811,,,26.100,82.000,21.300,16.000,-0.216,Neutral,0.216,98.382,102.976
1998-10-31,7.896,,,102.428,,,26.000,162.000,12.200,75.000,-1.021,La Niña-like,1.021,86.217,108.165
1998-11-30,8.720,,,113.121,,,27.500,157.000,5.700,41.000,-0.893,La Niña-like,0.893,84.987,110.361
1998-12-31,8.127,,,105.425,,,27.200,378.000,-1.000,1.000,-0.982,La Niña-like,0.982,73.100,107.072
1999-01-31,7.178,,,93.113,,,28.500,293.000,-6.600,9.000,-0.237,Neutral,0.237,89.417,106.355
1999-02-28,7.201,,,93.419,,,27.300,228.000,1.700,30.000,-0.082,Neutral,0.082,94.488,105.338
1999-03-31,6.993,,,90.717,,,27.300,228.000,3.700,31.000,0.434,Neutral,0.000,111.140,102.122
1999-04-30,7.142,,,92.647,,,26.700,160.000,10.700,127.000,0.172,Neutral,0.000,105.004,99.935
1999-05-31,7.164,,,92.941,,,24.700,36.000,16.200,149.000,0.040,Neutral,0.000,101.743,96.589
