Date,Soybeans,ADM,Bunge
2010-01-01,1017.7500,20.4573,48.3231
2010-01-08,968.5000,20.1363,46.3746
2010-01-15,954.0000,19.9398,43.6564
2010-01-22,931.7500,19.6188,40.9244
2010-01-29,914.0000,19.6909,39.8889
2010-02-05,943.0000,19.6712,40.0319
2010-02-12,948.0000,19.6319,41.8525
2010-02-19,941.5000,19.4021,41.2986
2010-02-26,932.5000,19.7511,41.6337
2010-03-05,925.5000,19.3824,41.6678
2010-03-12,959.5000,19.2507,42.3858
2010-03-19,942.5000,18.6055,43.5960
2010-03-26,942.0000,19.1651,42.2901
2010-04-02,946.5000,18.4738,40.4918
2010-04-09,984.0000,18.6582,41.3055
2010-04-16,1004.2500,18.7372,39.9585
2010-04-23,985.7500,18.5134,36.5807
2010-04-30,945.5000,16.9201,34.7072
2010-05-07,960.5000,17.8747,35.3705
2010-05-14,944.0000,16.7094,32.8680
2010-05-21,951.7500,16.8353,33.9109
2010-05-28,955.0000,16.9015,33.7049
2010-06-04,935.0000,16.8088,34.9751
2010-06-11,952.0000,18.2123,36.8083
2010-06-18,955.5000,17.5172,35.2086
2010-06-25,953.5000,17.0537,34.1993
2010-07-02,1012.5000,17.6827,36.5131
2010-07-09,1019.0000,17.7886,37.0761
2010-07-16,1016.0000,18.1726,37.0418
2010-07-23,1026.7500,17.8747,31.7824
2010-07-30,1055.0000,20.0262,37.4057
2010-08-06,1057.0000,20.2579,37.3576
2010-08-13,1016.7500,20.0130,37.1242
2010-08-20,1013.0000,19.9404,35.2557
2010-08-27,1007.5000,20.9850,38.3724
2010-09-03,1037.7500,21.1913,39.0964
2010-09-10,1036.2500,22.0962,39.3653
2010-09-17,1093.5000,21.9631,41.0064
2010-09-24,1106.7500,21.2379,40.7927
2010-10-01,1065.0000,21.7768,40.5168
2010-10-08,1188.5000,22.1427,42.0890
2010-10-15,1201.5000,22.2425,42.2269
2010-10-22,1225.0000,22.2558,40.6479
2010-10-29,1264.7500,20.9983,41.7994
2010-11-05,1330.2500,20.4128,42.8682
2010-11-12,1242.0000,19.8207,42.2820
2010-11-19,1255.0000,19.7124,43.1226
2010-11-26,1279.7500,20.1403,43.2887
2010-12-03,1281.5000,20.3543,43.3925
2010-12-10,1289.0000,20.2941,42.6727
2010-12-17,1349.5000,20.2005,44.2993
2010-12-24,1366.0000,19.9932,45.1230
2010-12-31,1369.5000,21.1901,46.6389
2011-01-07,1410.0000,22.2199,48.3555
2011-01-14,1414.2500,22.3269,48.0924
2011-01-21,1399.5000,22.3536,47.3241
2011-01-28,1435.5000,23.7043,48.1893
2011-02-04,1433.0000,23.6976,47.7810
2011-02-11,1404.5000,25.0617,51.3733
2011-02-18,1318.2500,24.4664,49.1229
2011-02-25,1405.5000,25.0440,50.0673
2011-03-04,1348.7500,23.8083,47.3452
2011-03-11,1335.2500,23.3381,46.4077
2011-03-18,1354.5000,24.2246,48.8660
2011-03-25,1410.2500,24.1843,50.2270
2011-04-01,1363.5000,24.4933,50.4353
2011-04-08,1331.0000,23.5329,49.7201
2011-04-15,1380.5000,24.2112,51.1923
2011-04-22,1350.2500,24.4060,51.0256
2011-04-29,1319.7500,22.8882,50.6715
2011-05-06,1345.2500,21.6927,50.3242
2011-05-13,1379.5000,21.1487,50.9700
2011-05-20,1384.7500,21.1537,50.6839
2011-05-27,1407.0000,20.7150,51.4710
2011-06-03,1393.7500,20.3100,47.9881
2011-06-10,1350.5000,19.9253,45.6266
2011-06-17,1317.7500,19.9185,46.0585
2011-06-24,1306.2500,20.3505,48.0299
2011-07-01,1345.5000,20.5530,49.6459
2011-07-08,1390.5000,20.1750,48.2179
2011-07-15,1380.2500,21.7814,50.6908
2011-07-22,1367.7500,20.7960,48.3712
2011-07-29,1339.2500,18.9330,44.2404
2011-08-05,1333.7500,18.5820,42.9099
2011-08-12,1352.0000,18.5686,42.3596
2011-08-19,1386.0000,18.7692,42.2525
2011-08-26,1424.7500,19.1833,45.1551
2011-09-02,1407.2500,18.7013,44.6096
2011-09-09,1358.7500,19.1358,44.4487
2011-09-16,1283.0000,17.2487,39.2379
2011-09-23,1230.0000,17.4930,41.2383
2011-09-30,1163.7500,17.5881,40.1892
2011-10-07,1257.0000,18.4026,40.5039
2011-10-14,1225.0000,18.8507,39.7136
2011-10-21,1235.0000,20.5002,43.9940
2011-10-28,1219.2500,19.9368,43.1757
2011-11-04,1158.0000,19.6041,42.8400
2011-11-11,1168.2500,19.4888,42.5462
2011-11-18,1122.5000,18.9757,41.4236
2011-11-25,1128.0000,20.6350,44.1903
2011-12-02,1132.5000,19.6244,43.1792
2011-12-09,1111.7500,19.0918,40.2509
2011-12-16,1162.2500,19.5971,40.6933
2011-12-23,1187.5000,19.6244,40.1877
2011-12-30,1201.2500,19.9659,41.1006
2012-01-06,1178.5000,19.8976,41.7958
2012-01-13,1197.0000,20.0888,40.9531
2012-01-20,1222.7500,20.3755,41.0304
2012-01-27,1217.0000,19.9180,40.1807
2012-02-03,1227.5000,20.9969,44.2325
2012-02-10,1258.2500,21.3247,46.5357
2012-02-17,1276.7500,21.7962,47.8132
2012-02-24,1316.7500,21.6452,47.4890
2012-03-02,1332.5000,21.3636,46.9603
2012-03-09,1369.0000,21.8512,47.8837
2012-03-16,1349.5000,21.7962,47.2634
2012-03-23,1355.5000,21.4666,47.3762
2012-03-30,1434.0000,21.5078,48.2573
2012-04-06,1441.0000,21.3567,48.2221
2012-04-13,1415.7500,21.0683,47.0378
2012-04-20,1481.2500,21.3087,46.3047
2012-04-27,1468.7500,22.3593,45.6562
2012-05-04,1452.2500,23.0048,45.4095
2012-05-11,1438.0000,22.1190,42.7168
2012-05-18,1376.0000,22.1608,42.8139
2012-05-25,1340.0000,22.0089,42.1132
2012-06-01,1428.0000,22.1815,42.4600
2012-06-08,1386.0000,21.5809,41.3276
2012-06-15,1438.5000,20.2830,42.1557
2012-06-22,1466.0000,20.1173,43.3731
2012-06-29,1626.5000,19.6755,44.7603
2012-07-06,1625.7500,18.8539,43.7128
2012-07-13,1733.7500,18.8401,44.9090
2012-07-20,1655.7500,18.7642,45.8716
2012-07-27,1653.0000,17.3489,46.0131
2012-08-03,1694.5000,18.2740,45.9565
2012-08-10,1656.2500,18.1705,46.0980
2012-08-17,1727.2500,18.2175,45.7795
2012-08-24,1770.2500,18.4399,45.0888
2012-08-31,1744.5000,19.0168,45.5437
2012-09-07,1743.5000,19.0376,47.2850
2012-09-14,1618.7500,18.7805,46.7022
2012-09-21,1570.7500,19.1558,47.8322
2012-09-28,1551.5000,19.5659,48.8059
2012-10-05,1548.5000,19.4825,48.6993
2012-10-12,1545.5000,20.2053,50.1350
2012-10-19,1564.0000,18.7596,49.8791
2012-10-26,1558.5000,18.8361,50.8742
2012-11-02,1499.2500,17.7031,50.8031
2012-11-09,1402.0000,17.0150,50.0355
2012-11-16,1408.2500,18.4706,51.4607
2012-11-23,1448.0000,18.7295,51.7961
2012-11-30,1491.2500,18.7015,51.1753
2012-12-07,1476.5000,19.0025,51.7889
2012-12-14,1408.7500,19.6184,52.6665
2012-12-21,1418.7500,19.2404,51.8602
2012-12-28,1403.0000,19.9054,52.6308
2013-01-04,1417.5000,19.8354,53.2372
2013-01-11,1430.2500,20.1433,55.0636
2013-01-18,1435.2500,20.3183,56.0196
2013-01-25,1468.5000,19.9684,56.8330
2013-02-01,1486.7500,21.1932,51.4536
2013-02-08,1418.0000,21.9771,52.7877
2013-02-15,1487.7500,22.4740,52.5882
2013-02-22,1474.2500,22.4348,53.0679
2013-03-01,1503.5000,22.9348,53.7554
2013-03-08,1457.2500,23.1742,54.4500
2013-03-15,1449.0000,22.9629,52.7386
2013-03-22,1404.7500,23.7516,52.8675
2013-03-29,1372.0000,23.6530,50.4829
2013-04-05,1402.0000,23.2235,48.4207
2013-04-12,1430.5000,22.4700,48.1557
2013-04-19,1423.5000,23.3643,52.2516
2013-04-26,1441.0000,23.6601,50.4471
2013-05-03,1491.2500,23.8783,51.7289
2013-05-10,1427.5000,24.0544,51.1990
2013-05-17,1499.5000,24.1896,51.0812
2013-05-24,1495.7500,23.5877,51.2250
2013-05-31,1527.2500,23.1203,49.5503
2013-06-07,1510.2500,23.6443,51.6347
2013-06-14,1497.5000,23.0920,50.5637
2013-06-21,1548.5000,23.8709,51.0669
2013-06-28,1583.5000,24.6499,51.6059
2013-07-05,1601.2500,25.6271,53.3453
2013-07-12,1469.2500,25.3439,53.0003
2013-07-19,1355.2500,25.9458,53.5681
2013-07-26,1357.7500,26.3281,54.9912
2013-08-02,1355.7500,27.1213,55.5590
2013-08-09,1288.2500,26.2219,54.8115
2013-08-16,1322.0000,25.5421,55.0056
2013-08-23,1430.0000,24.7786,54.3064
2013-08-30,1423.0000,25.7609,55.2661
2013-09-06,1442.0000,25.6185,55.7063
2013-09-13,1339.5000,26.3802,56.6011
2013-09-20,1316.7500,26.2022,55.3094
2013-09-27,1288.2500,26.1595,56.0238
2013-10-04,1288.0000,26.3873,56.5794
2013-10-11,1293.2500,26.9781,58.4700
2013-10-18,1309.7500,27.8893,57.8061
2013-10-25,1280.2500,29.1136,59.2637
2013-11-01,1278.7500,29.3485,58.2896
2013-11-08,1317.2500,29.8966,59.2926
2013-11-15,1291.5000,29.4275,57.8725
2013-11-22,1320.0000,29.6706,58.3214
2013-11-29,1328.0000,29.6563,58.2201
2013-12-06,1323.7500,29.0270,58.0752
2013-12-13,1327.0000,31.3154,58.8501
2013-12-20,1318.7500,31.2153,59.5816
2013-12-27,1287.0000,30.7433,59.3281
2014-01-03,1296.2500,30.1497,58.8284
2014-01-10,1315.0000,29.4990,59.0022
2014-01-17,1277.0000,29.2058,58.0100
2014-01-24,1275.0000,28.2546,55.5042
2014-01-31,1325.7500,27.9686,54.4034
2014-02-07,1344.2500,29.0842,56.0257
2014-02-14,1358.2500,28.6909,57.5421
2014-02-21,1393.5000,28.6953,57.7966
2014-02-28,1437.5000,29.4506,58.3492
2014-03-07,1390.7500,30.5009,56.7133
2014-03-14,1433.7500,30.7167,56.9168
2014-03-21,1436.5000,31.0044,56.8805
2014-03-28,1475.2500,31.0404,57.7966
2014-04-04,1482.2500,31.7741,57.7312
2014-04-11,1514.0000,32.4000,58.3492
2014-04-18,1472.0000,32.1050,58.7273
2014-04-25,1473.5000,31.1051,54.7792
2014-05-02,1474.2500,31.7022,55.8117
2014-05-09,1470.2500,31.3137,55.4772
2014-05-16,1518.7500,31.5697,55.1086
2014-05-23,1499.0000,32.2857,56.5903
2014-05-30,1460.5000,32.5244,55.5611
2014-06-06,1415.2500,31.4395,54.8239
2014-06-13,1420.7500,32.6329,55.4735
2014-06-20,1437.0000,31.7722,55.1962
2014-06-27,1387.7500,33.1030,55.5173
2014-07-04,1329.7500,34.2457,54.3349
2014-07-11,1174.7500,34.2240,53.9626
2014-07-18,1207.5000,35.0268,54.9626
2014-07-25,1224.5000,33.5586,57.5465
