time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,Region
2010-01-01,-9.8,-12.6,-7.0,,,,21.0,,1026.4,,Indiana
2010-01-02,-11.8,-16.0,-8.2,,,,20.0,,1029.6,,Indiana
2010-01-03,-11.8,-17.0,-7.0,,,,15.7,,1029.5,,Indiana
2010-01-04,-9.8,-13.2,-7.0,,,,20.3,,1025.1,,Indiana
2010-01-05,-10.2,-13.2,-7.0,,,,19.9,,1024.0,,Indiana
2010-01-06,-8.4,-11.0,-4.2,,,,10.3,,1024.2,,Indiana
2010-01-07,-7.8,-12.6,-4.2,,,,20.2,,1017.0,,Indiana
2010-01-08,-8.2,-12.0,-4.2,,,,20.9,,1022.9,,Indiana
2010-01-09,-8.4,-10.4,-5.9,,,,13.2,,1031.4,,Indiana
2010-01-10,-10.6,-13.8,-6.6,,,,13.2,,1032.9,,Indiana
2010-01-11,-5.8,-8.8,-3.2,,,,20.4,,1023.0,,Indiana
2010-01-12,-3.4,-6.6,-1.0,0.0,,,9.6,,1029.9,,Indiana
2010-01-13,-3.2,-8.8,3.4,0.0,,,13.9,,1026.4,,Indiana
2010-01-14,2.0,-2.6,7.4,0.0,,,12.5,,1021.5,,Indiana
2010-01-15,4.0,1.8,5.2,0.0,,,9.0,,1024.1,,Indiana
2010-01-16,1.8,-0.4,4.0,0.0,,,6.2,,1022.6,,Indiana
2010-01-17,1.2,-2.1,3.4,0.0,,,13.5,,1010.9,,Indiana
2010-01-18,-0.5,-2.6,0.8,0.0,,,12.8,,1015.5,,Indiana
2010-01-19,0.6,-1.0,2.4,0.0,,,4.4,,1015.4,,Indiana
2010-01-20,-0.4,-2.1,1.2,,,,20.1,,1013.7,,Indiana
2010-01-21,2.0,0.8,4.0,,,,23.3,,1007.3,,Indiana
2010-01-22,2.6,1.2,4.6,,,,13.2,,1010.9,,Indiana
2010-01-23,6.2,2.9,9.0,0.0,,,18.8,,1011.3,,Indiana
2010-01-24,9.0,3.4,12.4,,,,23.8,,995.9,,Indiana
2010-01-25,0.0,-3.8,3.4,,,,27.0,,997.6,,Indiana
2010-01-26,-6.0,-7.0,-3.8,,,,27.3,,1013.1,,Indiana
2010-01-27,-4.2,-8.8,0.2,,,,17.6,,1023.0,,Indiana
2010-01-28,-7.6,-13.2,0.2,,,,21.2,,1028.1,,Indiana
2010-01-29,-9.5,-12.6,-7.0,0.0,,,13.3,,1030.7,,Indiana
2010-01-30,-7.2,-8.8,-3.2,0.0,,,18.1,,1021.7,,Indiana
2010-01-31,-7.2,-13.2,-1.6,0.0,,,8.1,,1024.8,,Indiana
2010-02-01,-2.4,-7.6,2.9,0.0,,,4.2,,1025.1,,Indiana
2010-02-02,1.3,-0.4,3.4,,,,11.7,,1017.8,,Indiana
2010-02-03,-2.4,-4.8,0.2,,,,9.8,,1024.9,,Indiana
2010-02-04,-0.4,-4.2,2.9,0.0,,,13.7,,1026.5,,Indiana
2010-02-05,1.0,-1.0,2.2,,,,25.1,,1011.0,,Indiana
2010-02-06,-3.6,-8.8,-1.0,,,,27.9,,1012.4,,Indiana
2010-02-07,-7.0,-10.4,-1.6,0.0,,,6.8,,1021.5,,Indiana
2010-02-08,-5.9,-10.4,-2.6,0.0,,,12.7,,1021.0,,Indiana
2010-02-09,-5.4,-11.8,-2.1,,,,19.3,,1010.8,,Indiana
2010-02-10,-5.6,-11.8,-3.8,,,,30.2,,1014.4,,Indiana
2010-02-11,-5.8,-8.8,-3.2,0.0,,,12.5,,1020.5,,Indiana
2010-02-12,-8.0,-14.8,-2.1,,,,4.8,,1017.7,,Indiana
2010-02-13,-6.4,-9.8,-1.6,0.0,,,12.6,,1015.1,,Indiana
2010-02-14,-6.2,-12.6,-1.0,0.0,,,7.4,,1013.3,,Indiana
2010-02-15,-4.6,-5.4,-3.2,,,,20.0,,1008.3,,Indiana
2010-02-16,-4.2,-5.9,-3.2,,,,22.5,,1012.0,,Indiana
2010-02-17,-3.8,-8.8,-1.0,0.0,,,16.0,,1014.6,,Indiana
2010-02-18,-2.1,-4.8,0.8,0.0,,,17.1,,1018.7,,Indiana
2010-02-19,-3.6,-10.4,2.4,0.0,,,7.8,,1022.4,,Indiana
2010-02-20,1.2,-1.0,3.4,,,,9.6,,1021.6,,Indiana
2010-02-21,3.2,2.4,4.6,,,,9.8,,1015.3,,Indiana
2010-02-22,1.8,0.8,2.9,,,,14.1,,1006.3,,Indiana
2010-02-23,-0.4,-3.2,0.8,,,,14.9,,1012.3,,Indiana
2010-02-24,-4.8,-5.9,-3.2,,,,17.7,,1014.4,,Indiana
2010-02-25,-3.1,-5.9,0.8,,,,21.4,,1017.5,,Indiana
2010-02-26,-2.8,-7.0,1.8,,,,25.8,,1014.8,,Indiana
2010-02-27,-1.4,-3.8,0.2,,,,19.3,,1010.7,,Indiana
2010-02-28,1.2,-0.4,2.9,,,,14.4,,1014.8,,Indiana
2010-03-01,2.0,0.2,4.6,0.0,,,12.1,,1019.6,,Indiana
2010-03-02,1.2,-1.6,5.2,0.0,,,14.5,,1016.0,,Indiana
2010-03-03,0.2,-3.2,2.9,0.0,,,14.8,,1015.3,,Indiana
2010-03-04,1.2,-4.2,6.8,0.0,,,10.1,,1019.7,,Indiana
2010-03-05,1.6,-4.2,9.0,0.0,,,8.2,,1025.5,,Indiana
2010-03-06,2.4,-4.2,8.5,0.0,,,4.8,,1028.4,,Indiana
2010-03-07,4.8,-2.1,13.0,,,,7.8,,1022.3,,Indiana
2010-03-08,8.5,1.8,15.8,0.0,,,6.6,,1017.1,,Indiana
2010-03-09,9.8,2.9,16.2,,,,11.4,,1011.2,,Indiana
2010-03-10,14.8,10.2,22.3,,,,18.2,,1005.2,,Indiana
2010-03-11,13.4,10.2,18.4,,,,20.8,,1003.0,,Indiana
2010-03-12,11.0,7.4,13.4,,,,9.1,,1001.5,,Indiana
2010-03-13,7.8,6.2,10.2,13.1,,,14.9,,996.6,,Indiana
2010-03-14,5.6,4.0,7.4,,,,21.4,,1003.7,,Indiana
2010-03-15,6.6,5.2,8.5,0.0,,,14.9,,1016.2,,Indiana
2010-03-16,9.4,1.8,16.2,0.0,,,9.4,,1020.4,,Indiana
2010-03-17,10.4,4.0,17.3,0.0,,,9.7,,1018.5,,Indiana
2010-03-18,10.6,3.4,18.4,0.0,,,12.1,,1015.2,,Indiana
2010-03-19,12.0,4.0,19.5,0.0,,,15.6,,1013.9,,Indiana
2010-03-20,13.2,6.8,19.5,0.0,,,11.3,,1013.9,,Indiana
2010-03-21,8.4,4.6,12.4,,,,24.0,,1012.7,,Indiana
2010-03-22,5.2,4.0,7.4,,,,19.6,,1007.6,,Indiana
2010-03-23,8.0,1.2,15.8,,,,10.8,,1012.2,,Indiana
2010-03-24,11.6,5.8,18.4,0.0,,,6.9,,1015.3,,Indiana
2010-03-25,9.5,2.9,13.0,,,,21.9,,1008.2,,Indiana
2010-03-26,2.8,-1.6,7.4,0.0,,,18.4,,1017.5,,Indiana
2010-03-27,6.6,-1.0,14.6,0.0,,,17.5,,1016.6,,Indiana
2010-03-28,9.4,5.8,11.2,,,,17.0,,1004.7,,Indiana
2010-03-29,6.8,1.8,13.0,0.0,,,18.2,,1012.5,,Indiana
2010-03-30,9.0,2.4,16.2,0.0,,,7.0,,1015.3,,Indiana
2010-03-31,16.0,5.8,26.2,0.0,,,18.1,,1011.7,,Indiana
2010-04-01,20.6,14.0,28.0,0.0,,,20.8,,1011.2,,Indiana
2010-04-02,21.4,15.8,26.8,0.0,,,20.4,,1011.0,,Indiana
2010-04-03,14.8,10.8,20.2,,,,16.8,,1010.4,,Indiana
2010-04-04,16.4,8.5,24.5,1.0,,,16.8,,1017.2,,Indiana
2010-04-05,20.2,17.3,25.8,,,,19.7,,1014.0,,Indiana
2010-04-06,22.6,17.3,28.4,0.0,,,30.5,,1006.3,,Indiana
2010-04-07,20.0,14.0,23.4,,,,28.0,,1004.0,,Indiana
2010-04-08,9.2,4.0,14.6,,,,21.6,,1006.8,,Indiana
2010-04-09,7.4,1.2,13.4,0.0,,,14.0,,1017.4,,Indiana
2010-04-10,12.8,2.9,21.2,0.0,,,13.0,,1023.8,,Indiana
2010-04-11,16.6,9.6,23.4,0.0,,,7.8,,1024.1,,Indiana
2010-04-12,17.2,11.8,23.0,0.0,,,15.1,,1025.5,,Indiana
2010-04-13,18.4,10.8,26.8,0.0,,,9.4,,1024.4,,Indiana
2010-04-14,19.2,11.8,27.4,0.0,,,11.3,,1027.4,,Indiana
2010-04-15,21.2,14.6,28.4,0.0,,,13.4,,1024.0,,Indiana
2010-04-16,18.8,14.0,24.0,,,,22.1,,1016.9,,Indiana
2010-04-17,10.5,4.0,15.2,0.0,,,17.9,,1018.9,,Indiana
2010-04-18,9.5,2.9,16.2,0.0,,,11.0,,1020.9,,Indiana
2010-04-19,11.6,5.2,16.8,0.0,,,11.6,,1020.3,,Indiana
2010-04-20,14.4,9.0,19.5,0.0,,,7.4,,1015.3,,Indiana
2010-04-21,15.0,6.8,21.2,0.0,,,4.2,,1010.4,,Indiana
2010-04-22,15.6,8.5,21.8,0.0,,,9.0,,1009.6,,Indiana
2010-04-23,15.0,13.4,15.8,,,,11.3,,1010.7,,Indiana
2010-04-24,16.8,14.2,21.2,,,,18.8,,1003.7,,Indiana
2010-04-25,14.4,13.4,15.8,,,,21.3,,990.4,,Indiana
2010-04-26,12.8,10.2,17.3,,,,20.0,,996.7,,Indiana
2010-04-27,10.5,7.4,14.6,0.0,,,12.4,,1005.6,,Indiana
2010-04-28,9.6,0.8,16.8,0.0,,,5.8,,1013.7,,Indiana
2010-04-29,16.0,6.8,24.0,0.0,,,22.0,,1010.2,,Indiana
2010-04-30,21.4,17.3,26.2,0.0,,,26.2,,1004.9,,Indiana
2010-05-01,20.0,17.3,23.0,,,,18.0,,1004.8,,Indiana
2010-05-02,20.0,17.3,23.0,,,,16.1,,1002.4,,Indiana
2010-05-03,17.5,11.8,24.0,,,,14.7,,1009.6,,Indiana
2010-05-04,18.2,11.2,24.5,,,,12.0,,1012.6,,Indiana
2010-05-05,20.6,14.0,28.0,3.1,,,18.9,,1008.8,,Indiana
2010-05-06,16.6,10.2,21.2,0.0,,,7.4,,1014.2,,Indiana
2010-05-07,20.2,14.0,27.4,9.4,,,25.5,,1006.6,,Indiana
2010-05-08,9.8,7.4,12.4,,,,32.5,,1016.3,,Indiana
2010-05-09,9.4,2.9,14.6,0.0,,,12.2,,1026.1,,Indiana
2010-05-10,11.6,6.2,16.2,2.1,,,15.9,,1025.1,,Indiana
2010-05-11,16.4,9.6,25.2,,,,27.6,,1012.3,,Indiana
2010-05-12,16.8,13.0,20.8,,,,11.4,,1016.3,,Indiana
2010-05-13,22.0,15.8,28.0,,,,25.2,,1015.8,,Indiana
2010-05-14,18.5,14.6,23.0,,,,14.8,,1021.5,,Indiana
2010-05-15,16.2,12.4,19.5,,,,8.0,,1023.2,,Indiana
2010-05-16,16.2,15.2,17.3,,,,18.0,,1019.4,,Indiana
2010-05-17,13.2,11.2,15.2,,,,12.3,,1013.7,,Indiana
2010-05-18,13.0,12.4,14.6,,,,11.8,,1011.8,,Indiana
2010-05-19,14.2,12.4,16.2,0.3,,,10.5,,1014.5,,Indiana
2010-05-20,16.2,11.2,20.2,,,,13.3,,1016.3,,Indiana
2010-05-21,18.8,16.2,21.2,,,,16.3,,1012.3,,Indiana
2010-05-22,20.0,14.6,25.2,0.0,,,11.4,,1014.2,,Indiana
2010-05-23,23.5,16.2,30.8,0.0,,,9.8,,1016.8,,Indiana
2010-05-24,26.0,20.8,30.8,0.0,,,10.5,,1017.8,,Indiana
2010-05-25,24.8,19.5,30.2,0.0,,,10.8,,1017.5,,Indiana
2010-05-26,26.0,20.8,30.2,,,,5.3,,1015.5,,Indiana
2010-05-27,24.8,20.2,31.8,3.9,,,11.6,,1012.8,,Indiana
2010-05-28,23.8,17.3,30.2,0.0,,,10.3,,1012.4,,Indiana
2010-05-29,25.8,19.5,30.8,0.0,,,12.7,,1012.1,,Indiana
2010-05-30,26.0,20.8,31.8,0.0,,,10.5,,1012.4,,Indiana
2010-05-31,24.0,20.2,29.6,,,,15.0,,1012.0,,Indiana
2010-06-01,23.2,19.0,28.4,0.0,,,7.4,,1012.4,,Indiana
2010-06-02,24.0,19.0,28.0,,,,16.9,,1007.2,,Indiana
2010-06-03,23.3,20.8,27.4,,,,8.7,,1007.3,,Indiana
2010-06-04,25.3,20.8,31.2,2.9,,,12.9,,1008.0,,Indiana
2010-06-05,26.0,24.0,29.6,,,,19.7,,1006.8,,Indiana
2010-06-06,22.3,17.3,25.8,,,,25.4,,1007.9,,Indiana
2010-06-07,20.2,15.2,25.2,0.0,,,10.1,,1015.9,,Indiana
2010-06-08,21.3,18.4,24.0,,,,12.4,,1016.8,,Indiana
2010-06-09,23.6,20.8,28.0,,,,16.1,,1011.0,,Indiana
2010-06-10,23.3,16.8,29.0,0.0,,,9.2,,1014.0,,Indiana
2010-06-11,25.2,21.2,31.2,,,,14.8,,1014.7,,Indiana
2010-06-12,25.8,21.8,31.2,,,,16.5,,1014.6,,Indiana
2010-06-13,24.3,21.2,29.6,,,,10.5,,1015.1,,Indiana
2010-06-14,24.5,21.2,29.0,,,,7.0,,1012.0,,Indiana
2010-06-15,24.0,20.2,30.2,,,,10.0,,1013.1,,Indiana
2010-06-16,24.2,20.8,27.4,0.0,,,17.1,,1015.8,,Indiana
2010-06-17,23.8,18.0,28.4,0.0,,,6.3,,1017.2,,Indiana
2010-06-18,26.0,20.2,32.4,13.0,,,12.1,,1015.7,,Indiana
2010-06-19,24.8,20.2,30.2,10.8,,,16.9,,1015.2,,Indiana
2010-06-20,26.6,20.8,31.8,0.0,,,5.9,,1016.5,,Indiana
2010-06-21,26.0,22.3,28.4,13.0,,,13.5,,1016.5,,Indiana
2010-06-22,24.0,20.2,28.0,,,,14.8,,1017.6,,Indiana
2010-06-23,28.4,24.0,32.9,0.0,,,17.6,,1015.8,,Indiana
2010-06-24,24.3,22.3,27.4,,,,17.0,,1015.7,,Indiana
2010-06-25,24.2,18.4,29.0,0.0,,,6.3,,1017.3,,Indiana
2010-06-26,26.8,19.5,32.9,0.0,,,11.9,,1012.0,,Indiana
2010-06-27,27.2,23.0,31.2,35.3,,,19.9,,1006.1,,Indiana
2010-06-28,25.4,22.3,30.2,,,,20.3,,1006.9,,Indiana
2010-06-29,22.2,19.0,25.8,0.0,,,14.8,,1015.7,,Indiana
2010-06-30,20.2,14.0,25.8,0.0,,,11.3,,1022.4,,Indiana
2010-07-01,21.0,15.2,26.2,0.0,,,11.1,,1025.3,,Indiana
2010-07-02,21.4,15.8,26.2,0.0,,,11.7,,1023.7,,Indiana
2010-07-03,23.4,15.8,30.2,0.0,,,10.4,,1018.8,,Indiana
2010-07-04,27.0,20.8,32.4,0.0,,,13.7,,1015.7,,Indiana
2010-07-05,27.2,22.3,31.2,0.0,,,14.3,,1015.5,,Indiana
2010-07-06,27.4,21.2,32.9,0.0,,,12.4,,1016.8,,Indiana
2010-07-07,28.8,23.0,33.4,0.0,,,7.0,,1017.9,,Indiana
2010-07-08,27.0,24.0,32.9,,,,8.9,,1015.6,,Indiana
2010-07-09,25.8,23.4,29.6,6.9,,,11.4,,1013.7,,Indiana
2010-07-10,24.8,19.5,29.6,0.0,,,7.5,,1014.5,,Indiana
2010-07-11,25.2,19.0,30.2,0.0,,,6.5,,1011.0,,Indiana
2010-07-12,25.8,21.2,30.8,,,,11.8,,1006.7,,Indiana
2010-07-13,25.0,21.2,28.0,,,,7.2,,1010.2,,Indiana
2010-07-14,27.0,21.8,31.8,0.0,,,7.0,,1016.0,,Indiana
2010-07-15,27.0,23.4,33.4,,,,15.0,,1015.0,,Indiana
2010-07-16,26.8,22.3,31.2,0.0,,,8.3,,1014.8,,Indiana
2010-07-17,27.4,23.0,32.4,,,,12.9,,1013.7,,Indiana
2010-07-18,24.4,20.8,29.6,,,,14.7,,1012.7,,Indiana
2010-07-19,25.3,22.3,31.2,,,,12.1,,1012.8,,Indiana
2010-07-20,23.6,20.8,27.4,,,,13.0,,1014.3,,Indiana
2010-07-21,25.8,22.3,30.2,,,,8.8,,1016.3,,Indiana
2010-07-22,26.4,22.3,31.2,11.7,,,10.6,,1015.9,,Indiana
2010-07-23,29.6,25.8,34.0,0.0,,,20.4,,1013.7,,Indiana
2010-07-24,29.6,25.2,34.0,0.0,,,19.1,,1013.4,,Indiana
2010-07-25,26.8,23.0,31.2,,,,12.7,,1015.0,,Indiana
2010-07-26,25.6,21.2,30.2,0.0,,,12.2,,1018.4,,Indiana
2010-07-27,26.8,22.3,31.8,0.0,,,7.8,,1016.7,,Indiana
2010-07-28,27.8,23.4,33.4,6.6,,,16.8,,1015.3,,Indiana
2010-07-29,25.8,23.0,29.0,13.2,,,13.1,,1016.5,,Indiana
2010-07-30,24.0,19.5,28.0,0.0,,,10.4,,1015.9,,Indiana
2010-07-31,23.2,20.8,25.8,,,,11.6,,1010.3,,Indiana
2010-08-01,24.3,20.2,28.4,0.0,,,9.8,,1012.5,,Indiana
2010-08-02,26.4,20.8,31.8,0.0,,,6.5,,1014.7,,Indiana
2010-08-03,28.0,23.0,33.4,2.0,,,11.2,,1014.1,,Indiana
2010-08-04,30.2,24.0,35.8,2.6,,,15.2,,1010.5,,Indiana
2010-08-05,26.8,23.0,31.2,,,,11.6,,1009.8,,Indiana
2010-08-06,23.8,18.0,28.4,0.0,,,10.7,,1012.9,,Indiana
2010-08-07,24.0,18.4,29.6,0.0,,,5.5,,1014.4,,Indiana
2010-08-08,25.3,19.0,30.2,0.0,,,8.6,,1013.4,,Indiana
2010-08-09,28.2,21.2,34.6,0.0,,,9.6,,1013.4,,Indiana
2010-08-10,30.6,25.8,35.8,0.0,,,7.2,,1013.2,,Indiana
2010-08-11,30.2,25.8,35.8,0.0,,,9.1,,1011.0,,Indiana
2010-08-12,29.4,24.5,35.2,0.0,,,7.2,,1009.8,,Indiana
2010-08-13,29.6,24.0,35.8,0.0,,,10.4,,1009.4,,Indiana
2010-08-14,28.6,24.5,33.4,0.0,,,7.9,,1009.9,,Indiana
2010-08-15,29.0,24.5,35.2,0.0,,,11.1,,1011.8,,Indiana
2010-08-16,24.4,17.3,29.6,0.0,,,12.7,,1016.6,,Indiana
2010-08-17,24.4,17.3,31.2,0.0,,,6.4,,1017.9,,Indiana
2010-08-18,26.4,22.3,31.2,0.0,,,12.5,,1016.1,,Indiana
2010-08-19,26.6,20.2,33.4,0.0,,,5.8,,1013.3,,Indiana
2010-08-20,28.0,21.2,34.6,0.0,,,11.8,,1012.3,,Indiana
2010-08-21,25.6,22.3,30.8,,,,15.4,,1009.2,,Indiana
2010-08-22,25.6,21.8,31.2,0.0,,,13.2,,1014.7,,Indiana
2010-08-23,23.8,19.5,29.6,0.0,,,11.0,,1015.9,,Indiana
2010-08-24,24.2,19.0,29.0,0.0,,,13.2,,1015.1,,Indiana
2010-08-25,23.6,19.0,29.6,0.0,,,12.8,,1016.0,,Indiana
2010-08-26,21.0,15.8,26.8,0.0,,,12.6,,1020.5,,Indiana
2010-08-27,21.8,15.2,29.0,0.0,,,7.3,,1020.4,,Indiana
2010-08-28,24.4,16.2,32.4,0.0,,,10.6,,1019.4,,Indiana
2010-08-29,28.0,21.8,34.6,0.3,,,12.6,,1020.5,,Indiana
2010-08-30,27.2,22.3,32.4,0.0,,,10.2,,1022.7,,Indiana
2010-08-31,27.4,21.2,32.9,0.0,,,14.4,,1019.9,,Indiana
2010-09-01,26.8,22.3,32.9,0.0,,,19.2,,1015.2,,Indiana
2010-09-02,25.6,21.8,29.6,,,,17.2,,1012.8,,Indiana
2010-09-03,22.8,19.5,26.2,,,,26.6,,1010.2,,Indiana
2010-09-04,18.0,12.4,23.4,0.0,,,20.0,,1014.0,,Indiana
2010-09-05,18.0,9.6,25.8,0.0,,,6.7,,1016.3,,Indiana
2010-09-06,23.8,15.2,31.8,0.0,,,18.4,,1015.4,,Indiana
2010-09-07,24.0,19.0,31.2,,,,23.8,,1015.3,,Indiana
2010-09-08,20.0,13.0,26.8,0.0,,,15.3,,1018.1,,Indiana
2010-09-09,18.6,12.4,25.2,0.0,,,8.8,,1017.8,,Indiana
2010-09-10,21.2,15.8,27.4,0.0,,,14.9,,1014.2,,Indiana
2010-09-11,20.8,16.8,26.8,,,,12.0,,1010.6,,Indiana
