week_end_sun,ADM_PRICE,BG_PRICE,SOY_PRICE,ADM_IDX,BG_IDX,SOY_IDX,oni,enso_phase,Mato_Grosso_Temp,Iowa_Temp,Mato_Grosso_Precip,Iowa_Precip
1995-01-08,7.323,,,102.024,,,-0.160,Neutral,26.000,10.000,1750.000,900.000
1995-01-15,7.553,,,105.232,,,-0.160,Neutral,26.000,10.000,1750.000,900.000
1995-01-22,7.139,,,99.457,,,-0.160,Neutral,26.000,10.000,1750.000,900.000
1995-01-29,7.323,,,102.024,,,-0.160,Neutral,26.000,10.000,1750.000,900.000
1995-02-05,7.470,,,104.080,,,-0.160,Neutral,26.000,10.000,1750.000,900.000
1995-02-12,7.332,,,102.152,,,-0.160,Neutral,26.000,10.000,1750.000,900.000
1995-02-19,7.240,,,100.867,,,-0.160,Neutral,26.000,10.000,1750.000,900.000
1995-02-26,6.963,,,97.013,,,-0.160,Neutral,26.000,10.000,1750.000,900.000
1995-03-05,7.055,,,98.298,,,-0.160,Neutral,26.000,10.000,1750.000,900.000
1995-03-12,7.194,,,100.225,,,-0.160,Neutral,26.000,10.000,1750.000,900.000
1995-03-19,7.194,,,100.225,,,-0.160,Neutral,26.000,10.000,1750.000,900.000
1995-03-26,7.101,,,98.940,,,-0.160,Neutral,26.000,10.000,1750.000,900.000
1995-04-02,6.871,,,95.728,,,-0.160,Neutral,26.000,10.000,1750.000,900.000
1995-04-09,6.917,,,96.370,,,-0.160,Neutral,26.000,10.000,1750.000,900.000
1995-04-16,7.009,,,97.655,,,-0.160,Neutral,26.000,10.000,1750.000,900.000
1995-04-23,6.825,,,95.085,,,-0.160,Neutral,26.000,10.000,1750.000,900.000
1995-04-30,6.733,,,93.800,,,-0.160,Neutral,26.000,10.000,1750.000,900.000
1995-05-07,7.019,,,97.789,,,-0.160,Neutral,26.000,10.000,1750.000,900.000
1995-05-14,6.880,,,95.859,,,-0.160,Neutral,26.000,10.000,1750.000,900.000
1995-05-21,6.927,,,96.502,,,-0.160,Neutral,26.000,10.000,1750.000,900.000
1995-05-28,6.834,,,95.216,,,-0.160,Neutral,26.000,10.000,1750.000,900.000
1995-06-04,6.880,,,95.859,,,-0.160,Neutral,26.000,10.000,1750.000,900.000
1995-06-11,6.927,,,96.502,,,-0.160,Neutral,26.000,10.000,1750.000,900.000
1995-06-18,7.204,,,100.363,,,-0.160,Neutral,26.000,10.000,1750.000,900.000
1995-06-25,7.019,,,97.789,,,-0.160,Neutral,26.000,10.000,1750.000,900.000
1995-07-02,6.880,,,95.859,,,-0.160,Neutral,26.000,10.000,1750.000,900.000
1995-07-09,6.557,,,91.356,,,-0.160,Neutral,26.000,10.000,1750.000,900.000
1995-07-16,6.095,,,84.922,,,-0.160,Neutral,26.000,10.000,1750.000,900.000
1995-07-23,6.372,,,88.782,,,-0.160,Neutral,26.000,10.000,1750.000,900.000
1995-07-30,6.049,,,84.279,,,-0.160,Neutral,26.000,10.000,1750.000,900.000
1995-08-06,5.966,,,83.118,,,-0.160,Neutral,26.000,10.000,1750.000,900.000
1995-08-13,6.151,,,85.695,,,-0.160,Neutral,26.000,10.000,1750.000,900.000
1995-08-20,6.507,,,90.657,,,-0.160,Neutral,26.000,10.000,1750.000,900.000
1995-08-27,6.264,,,87.274,,,-0.160,Neutral,26.000,10.000,1750.000,900.000
1995-09-03,6.458,,,89.980,,,-0.160,Neutral,26.000,10.000,1750.000,900.000
1995-09-10,6.458,,,89.980,,,-0.160,Neutral,26.000,10.000,1750.000,900.000
1995-09-17,6.410,,,89.304,,,-0.160,Neutral,26.000,10.000,1750.000,900.000
1995-09-24,6.313,,,87.950,,,-0.160,Neutral,26.000,10.000,1750.000,900.000
1995-10-01,5.973,,,83.215,,,-0.160,Neutral,26.000,10.000,1750.000,900.000
1995-10-08,5.876,,,81.862,,,-0.160,Neutral,26.000,10.000,1750.000,900.000
1995-10-15,6.118,,,85.244,,,-0.160,Neutral,26.000,10.000,1750.000,900.000
1995-10-22,6.313,,,87.950,,,-0.160,Neutral,26.000,10.000,1750.000,900.000
1995-10-29,6.313,,,87.950,,,-0.160,Neutral,26.000,10.000,1750.000,900.000
1995-11-05,6.332,,,88.226,,,-0.160,Neutral,26.000,10.000,1750.000,900.000
1995-11-12,6.284,,,87.548,,,-0.160,Neutral,26.000,10.000,1750.000,900.000
1995-11-19,6.625,,,92.298,,,-0.160,Neutral,26.000,10.000,1750.000,900.000
1995-11-26,6.722,,,93.655,,,-0.160,Neutral,26.000,10.000,1750.000,900.000
1995-12-03,6.820,,,95.013,,,-0.160,Neutral,26.000,10.000,1750.000,900.000
1995-12-10,6.722,,,93.655,,,-0.160,Neutral,26.000,10.000,1750.000,900.000
1995-12-17,6.722,,,93.655,,,-0.160,Neutral,26.000,10.000,1750.000,900.000
1995-12-24,6.917,,,96.370,,,-0.160,Neutral,26.000,10.000,1750.000,900.000
1995-12-31,7.014,,,97.727,,,-0.160,Neutral,26.000,10.000,1750.000,900.000
1996-01-07,7.258,,,101.121,,,-0.460,Neutral,26.000,10.000,1750.000,900.000
1996-01-14,6.722,,,93.655,,,-0.460,Neutral,26.000,10.000,1750.000,900.000
1996-01-21,7.161,,,99.763,,,-0.460,Neutral,26.000,10.000,1750.000,900.000
1996-01-28,7.258,,,101.121,,,-0.460,Neutral,26.000,10.000,1750.000,900.000
1996-02-04,7.424,,,103.429,,,-0.460,Neutral,26.000,10.000,1750.000,900.000
1996-02-11,7.570,,,105.470,,,-0.460,Neutral,26.000,10.000,1750.000,900.000
1996-02-18,7.570,,,105.470,,,-0.460,Neutral,26.000,10.000,1750.000,900.000
1996-02-25,7.521,,,104.790,,,-0.460,Neutral,26.000,10.000,1750.000,900.000
1996-03-03,7.570,,,105.470,,,-0.460,Neutral,26.000,10.000,1750.000,900.000
1996-03-10,7.179,,,100.027,,,-0.460,Neutral,26.000,10.000,1750.000,900.000
1996-03-17,7.277,,,101.388,,,-0.460,Neutral,26.000,10.000,1750.000,900.000
1996-03-24,7.277,,,101.388,,,-0.460,Neutral,26.000,10.000,1750.000,900.000
1996-03-31,7.179,,,100.027,,,-0.460,Neutral,26.000,10.000,1750.000,900.000
1996-04-07,7.472,,,104.109,,,-0.460,Neutral,26.000,10.000,1750.000,900.000
1996-04-14,7.424,,,103.429,,,-0.460,Neutral,26.000,10.000,1750.000,900.000
1996-04-21,7.570,,,105.470,,,-0.460,Neutral,26.000,10.000,1750.000,900.000
1996-04-28,7.424,,,103.429,,,-0.460,Neutral,26.000,10.000,1750.000,900.000
1996-05-05,7.345,,,102.339,,,-0.460,Neutral,26.000,10.000,1750.000,900.000
1996-05-12,7.394,,,103.021,,,-0.460,Neutral,26.000,10.000,1750.000,900.000
1996-05-19,7.590,,,105.750,,,-0.460,Neutral,26.000,10.000,1750.000,900.000
1996-05-26,7.933,,,110.526,,,-0.460,Neutral,26.000,10.000,1750.000,900.000
1996-06-02,7.639,,,106.433,,,-0.460,Neutral,26.000,10.000,1750.000,900.000
1996-06-09,7.688,,,107.115,,,-0.460,Neutral,26.000,10.000,1750.000,900.000
1996-06-16,7.590,,,105.750,,,-0.460,Neutral,26.000,10.000,1750.000,900.000
1996-06-23,7.688,,,107.115,,,-0.460,Neutral,26.000,10.000,1750.000,900.000
1996-06-30,7.492,,,104.386,,,-0.460,Neutral,26.000,10.000,1750.000,900.000
1996-07-07,7.247,,,100.975,,,-0.460,Neutral,26.000,10.000,1750.000,900.000
1996-07-14,6.954,,,96.881,,,-0.460,Neutral,26.000,10.000,1750.000,900.000
1996-07-21,6.611,,,92.105,,,-0.460,Neutral,26.000,10.000,1750.000,900.000
1996-07-28,6.709,,,93.470,,,-0.460,Neutral,26.000,10.000,1750.000,900.000
1996-08-04,7.052,,,98.246,,,-0.460,Neutral,26.000,10.000,1750.000,900.000
1996-08-11,7.120,,,99.201,,,-0.460,Neutral,26.000,10.000,1750.000,900.000
1996-08-18,7.322,,,102.006,,,-0.460,Neutral,26.000,10.000,1750.000,900.000
1996-08-25,7.528,,,104.880,,,-0.460,Neutral,26.000,10.000,1750.000,900.000
1996-09-01,7.322,,,102.006,,,-0.460,Neutral,26.000,10.000,1750.000,900.000
1996-09-08,7.322,,,102.006,,,-0.460,Neutral,26.000,10.000,1750.000,900.000
1996-09-15,7.476,,,104.162,,,-0.460,Neutral,26.000,10.000,1750.000,900.000
1996-09-22,7.682,,,107.035,,,-0.460,Neutral,26.000,10.000,1750.000,900.000
1996-09-29,7.786,,,108.472,,,-0.460,Neutral,26.000,10.000,1750.000,900.000
1996-10-06,8.250,,,114.937,,,-0.460,Neutral,26.000,10.000,1750.000,900.000
1996-10-13,8.507,,,118.529,,,-0.460,Neutral,26.000,10.000,1750.000,900.000
1996-10-20,8.868,,,123.557,,,-0.460,Neutral,26.000,10.000,1750.000,900.000
1996-10-27,8.662,,,120.684,,,-0.460,Neutral,26.000,10.000,1750.000,900.000
1996-11-03,9.023,,,125.712,,,-0.460,Neutral,26.000,10.000,1750.000,900.000
1996-11-10,8.991,,,125.271,,,-0.460,Neutral,26.000,10.000,1750.000,900.000
1996-11-17,9.250,,,128.870,,,-0.460,Neutral,26.000,10.000,1750.000,900.000
1996-11-24,9.095,,,126.711,,,-0.460,Neutral,26.000,10.000,1750.000,900.000
1996-12-01,9.095,,,126.711,,,-0.460,Neutral,26.000,10.000,1750.000,900.000
1996-12-08,8.681,,,120.951,,,-0.460,Neutral,26.000,10.000,1750.000,900.000
1996-12-15,8.836,,,123.111,,,-0.460,Neutral,26.000,10.000,1750.000,900.000
1996-12-22,9.198,,,128.151,,,-0.460,Neutral,26.000,10.000,1750.000,900.000
1996-12-29,9.405,,,131.030,,,-0.460,Neutral,26.000,10.000,1750.000,900.000
1997-01-05,9.095,,,126.711,,,1.171,El Niño,26.000,10.000,1750.000,900.000
1997-01-12,9.198,,,128.151,,,1.171,El Niño,26.000,10.000,1750.000,900.000
1997-01-19,8.836,,,123.111,,,1.171,El Niño,26.000,10.000,1750.000,900.000
1997-01-26,8.216,,,114.471,,,1.171,El Niño,26.000,10.000,1750.000,900.000
1997-02-02,8.165,,,113.752,,,1.171,El Niño,26.000,10.000,1750.000,900.000
1997-02-09,7.927,,,110.437,,,1.171,El Niño,26.000,10.000,1750.000,900.000
1997-02-16,7.875,,,109.715,,,1.171,El Niño,26.000,10.000,1750.000,900.000
1997-02-23,7.875,,,109.715,,,1.171,El Niño,26.000,10.000,1750.000,900.000
1997-03-02,7.668,,,106.828,,,1.171,El Niño,26.000,10.000,1750.000,900.000
1997-03-09,7.719,,,107.550,,,1.171,El Niño,26.000,10.000,1750.000,900.000
1997-03-16,7.564,,,105.384,,,1.171,El Niño,26.000,10.000,1750.000,900.000
1997-03-23,7.305,,,101.775,,,1.171,El Niño,26.000,10.000,1750.000,900.000
1997-03-30,7.564,,,105.384,,,1.171,El Niño,26.000,10.000,1750.000,900.000
1997-04-06,7.150,,,99.610,,,1.171,El Niño,26.000,10.000,1750.000,900.000
1997-04-13,7.305,,,101.775,,,1.171,El Niño,26.000,10.000,1750.000,900.000
1997-04-20,7.460,,,103.941,,,1.171,El Niño,26.000,10.000,1750.000,900.000
1997-04-27,7.616,,,106.106,,,1.171,El Niño,26.000,10.000,1750.000,900.000
1997-05-04,7.512,,,104.662,,,1.171,El Niño,26.000,10.000,1750.000,900.000
1997-05-11,7.635,,,106.380,,,1.171,El Niño,26.000,10.000,1750.000,900.000
1997-05-18,8.207,,,114.341,,,1.171,El Niño,26.000,10.000,1750.000,900.000
1997-05-25,8.363,,,116.512,,,1.171,El Niño,26.000,10.000,1750.000,900.000
1997-06-01,8.311,,,115.788,,,1.171,El Niño,26.000,10.000,1750.000,900.000
1997-06-08,8.622,,,120.130,,,1.171,El Niño,26.000,10.000,1750.000,900.000
1997-06-15,8.467,,,117.959,,,1.171,El Niño,26.000,10.000,1750.000,900.000
1997-06-22,9.142,,,127.367,,,1.171,El Niño,26.000,10.000,1750.000,900.000
1997-06-29,9.817,,,136.774,,,1.171,El Niño,26.000,10.000,1750.000,900.000
1997-07-06,9.895,,,137.860,,,1.171,El Niño,26.000,10.000,1750.000,900.000
1997-07-13,9.791,,,136.413,,,1.171,El Niño,26.000,10.000,1750.000,900.000
1997-07-20,9.194,,,128.090,,,1.171,El Niño,26.000,10.000,1750.000,900.000
1997-07-27,9.531,,,132.794,,,1.171,El Niño,26.000,10.000,1750.000,900.000
1997-08-03,9.324,,,129.899,,,1.171,El Niño,26.000,10.000,1750.000,900.000
1997-08-10,9.474,,,132.001,,,1.171,El Niño,26.000,10.000,1750.000,900.000
1997-08-17,9.101,,,126.797,,,1.171,El Niño,26.000,10.000,1750.000,900.000
1997-08-24,9.566,,,133.270,,,1.171,El Niño,26.000,10.000,1750.000,900.000
1997-08-31,9.456,,,131.747,,,1.171,El Niño,26.000,10.000,1750.000,900.000
1997-09-07,9.484,,,132.128,,,1.171,El Niño,26.000,10.000,1750.000,900.000
