week_end_sun,T_US,P_US,T_BR,P_BR
2005-01-02,3.000,6.500,24.000,5.667
2005-01-09,-5.029,47.800,23.171,63.000
2005-01-16,-6.807,37.100,23.490,62.400
2005-01-23,-8.086,3.400,22.529,75.167
2005-01-30,-2.564,2.600,22.448,72.333
2005-02-06,2.129,5.500,22.476,47.267
2005-02-13,0.014,28.800,23.238,32.767
2005-02-20,1.264,13.750,23.638,37.600
2005-02-27,1.186,2.150,24.600,31.267
2005-03-06,0.943,2.700,23.167,70.933
2005-03-13,0.421,3.900,23.905,47.033
2005-03-20,2.336,4.600,22.081,83.133
2005-03-27,4.164,13.850,22.595,43.467
2005-04-03,10.593,10.550,23.000,47.300
2005-04-10,15.336,8.950,24.005,22.933
2005-04-17,14.350,39.850,24.581,0.100
2005-04-24,14.107,48.400,23.243,25.333
2005-05-01,8.493,6.150,20.295,27.367
2005-05-08,13.193,6.750,20.943,8.000
2005-05-15,16.686,41.350,22.862,0.200
2005-05-22,17.550,11.050,23.024,3.233
2005-05-29,17.471,2.350,21.252,40.300
2005-06-05,20.950,13.000,21.971,0.900
2005-06-12,24.414,49.450,21.814,0.233
2005-06-19,20.929,19.850,22.419,5.667
2005-06-26,26.107,5.400,21.152,10.800
2005-07-03,25.271,5.000,22.224,6.667
2005-07-10,24.071,12.350,20.138,1.367
2005-07-17,25.486,20.950,20.510,1.800
2005-07-24,27.864,7.150,20.086,7.067
2005-07-31,24.007,16.550,21.062,1.033
2005-08-07,25.757,1.750,22.229,0.000
2005-08-14,25.229,23.250,19.986,1.567
2005-08-21,23.693,25.950,24.005,0.767
2005-08-28,21.729,9.600,24.233,3.433
2005-09-04,22.821,0.300,23.733,24.600
2005-09-11,25.729,5.450,24.367,5.167
2005-09-18,21.200,31.900,22.971,30.900
2005-09-25,21.893,42.850,24.267,39.767
2005-10-02,16.793,23.100,21.952,26.533
2005-10-09,15.964,1.650,24.248,30.933
2005-10-16,14.443,0.600,24.671,23.167
2005-10-23,12.350,17.500,23.190,69.600
2005-10-30,8.357,0.650,23.938,52.400
2005-11-06,12.293,18.650,23.152,21.067
2005-11-13,11.479,4.400,22.905,43.733
2005-11-20,1.536,15.950,23.614,37.867
2005-11-27,2.807,5.000,23.076,56.433
2005-12-04,-2.821,37.150,22.548,65.767
2005-12-11,-10.371,6.950,22.257,69.867
2005-12-18,-5.236,9.950,21.257,102.267
2005-12-25,-4.486,5.200,23.367,33.267
2006-01-01,1.536,5.050,22.029,70.600
2006-01-08,2.921,4.250,22.252,56.433
2006-01-15,1.771,13.950,23.557,29.200
2006-01-22,1.450,12.850,25.376,12.733
2006-01-29,2.964,16.450,25.181,33.767
2006-02-05,1.150,2.100,23.810,48.733
2006-02-12,-2.843,1.500,22.924,106.867
2006-02-19,-4.000,11.400,22.862,66.267
2006-02-26,-0.679,0.300,22.900,59.333
2006-03-05,3.057,8.550,23.795,41.800
2006-03-12,6.857,41.200,23.000,51.000
2006-03-19,3.314,13.150,22.581,58.767
2006-03-26,0.836,13.000,23.048,41.633
2006-04-02,9.071,35.250,22.467,51.000
2006-04-09,9.636,41.900,21.952,47.700
2006-04-16,17.829,17.950,21.862,28.300
2006-04-23,14.564,12.300,21.381,10.867
2006-04-30,12.371,39.250,22.843,0.333
2006-05-07,14.164,8.750,20.519,0.233
2006-05-14,12.857,15.400,19.633,0.000
2006-05-21,15.107,10.850,20.981,36.233
2006-05-28,21.364,18.800,20.290,8.533
2006-06-04,22.479,28.400,21.552,1.600
2006-06-11,21.007,26.150,20.943,3.833
2006-06-18,22.886,11.700,20.924,0.000
2006-06-25,24.036,10.500,21.500,0.233
2006-07-02,22.850,10.900,20.348,12.033
2006-07-09,23.407,8.400,20.919,5.433
2006-07-16,25.264,39.700,21.619,10.967
2006-07-23,25.700,9.150,20.862,0.000
2006-07-30,26.779,16.250,22.305,3.467
2006-08-06,27.629,4.400,22.062,1.167
2006-08-13,24.250,29.400,23.862,0.000
2006-08-20,23.050,32.000,23.695,3.567
2006-08-27,23.493,11.100,22.971,5.567
2006-09-03,20.021,52.800,23.243,14.633
2006-09-10,19.907,26.450,21.371,3.833
2006-09-17,19.093,28.550,25.538,18.033
2006-09-24,14.771,24.600,23.076,28.333
2006-10-01,15.043,1.650,22.614,22.267
2006-10-08,17.979,2.500,22.900,57.467
2006-10-15,8.707,9.000,22.700,38.767
2006-10-22,8.621,45.050,22.181,56.533
2006-10-29,6.136,16.250,23.157,27.433
2006-11-05,5.100,1.200,23.371,43.767
2006-11-12,8.607,17.250,22.062,41.200
2006-11-19,3.679,13.450,23.962,11.400
2006-11-26,6.221,0.500,24.029,37.967
2006-12-03,1.650,57.550,22.910,69.267
2006-12-10,-4.243,0.700,22.614,53.900
2006-12-17,5.971,7.950,23.324,62.700
